Region,Installation,RPUID,Asset_Name,build_dt,FCI,ICI,Visit Date,Net_Profit,Population,Profit_per_pop,ConditionCombo,ICI_Exist,Q-Rating
MCIEAST,MCRD PI,22434,MCCS OUTDOOR SWIMMING POOL,1934,80,,20-Aug-15,196989.54,2915,67.57788679,80,N,Q2
MCIEAST,MCRD PI,22452,REC CENTER - BRIG & BREW CLUB,1899,78,,07-Jan-21,1095869.86,2915,375.9416329,78,N,Q2
MCIEAST,MCRD PI,22453,DRY CLEANERS / COBBLER SHOP / ITT,2005,91,,08-Jan-21,15585427.27,2915,5346.630281,91,N,Q1
MCIEAST,MCRD PI,22453,DRY CLEANERS / COBBLER SHOP / ITT,2005,91,98,02-Aug-16,15585427.27,2915,5346.630281,98,Y,Q1
MCIEAST,MCRD PI,22455,BASE THEATER (AUDITORIUM),1957,83,,08-Jan-21,18761.11,2915,6.436058319,83,N,Q1
MCIEAST,MCRD PI,22457,WOOD HOBBY SHOP,1899,68,,12-Jan-21,-728431.7,2915,-249.8908062,68,N,Q3
MCIEAST,MCRD PI,22458,FAMILY SERVICES CENTER - FOUR WINDS,1971,86,,08-Jan-21,-194442.78,2915,-66.70421269,86,N,Q1
MCIEAST,MCRD PI,22792,BARRACKS ENLISTED / WPNS BN HQ / REC BLDG,1938,73,,05-Jan-21,1163667.51,2915,399.1998319,73,N,Q2
MCIEAST,MCRD PI,22792,BARRACKS ENLISTED / WPNS BN HQ / REC BLDG,1938,73,85,24-Jan-14,1163667.51,2915,399.1998319,85,Y,Q1
MCIEAST,MCRD PI,24899,ALL HANDS CLUB @ TRADITIONS,1918,66,95,02-Aug-16,4485639.85,2915,1538.812985,95,Y,Q1
MCIEAST,MCRD PI,987340,MCX - MARINE CORPS EXCHANGE,2008,88,,12-Jan-21,144079761.3,2915,49427.01931,88,N,Q1
MCIEAST,MCRD PI,987340,MCX - MARINE CORPS EXCHANGE,2008,88,96.5,02-Aug-16,144079761.3,2915,49427.01931,96.5,Y,Q1
MCIEAST,MCRD PI,1005865,YOUTH CENTER,2009,89,,13-Jan-21,1144743.42,2915,392.7078628,89,N,Q1
MCIEAST,MCRD PI,1047288,,,,,,1250175.14,2915,428.8765489,,N,Q4
MCIEAST,MCRD PI,1113663,CHILD DEVELOPMENT CENTER,2011,90,,13-Jan-21,10018755.42,2915,3436.965839,90,N,Q1
MCINCR,Camp Allen,69803,MARINE CORPS EXCHANGE,1984,85,,29-Apr-21,32412604.77,960,33763.12997,85,N,Q1
